study_method,code,learn_method,mooc,mooc_help,preptime,cgpa,avg_attendance,social_media ,movies,nervous,events,breakstudy,friends time,clubs_involve,clubnum
1,V,1,1,0,1,4,3,3,1,1,4,2,1,1,2
5,S,7,0,0,1,2,2,5,5,1,7,0,5,1,3
25,CVS,4,1,1,3,4,3,3,3,1,4,3,5,1,2
1,V,1,1,0,2,2,2,1,2,1,7,1,1,1,1
28,VS,4,1,1,3,3,3,1,1,1,2,1,2,1,1
21,CVL,4,1,2,2,2,1,2,2,0,3,1,4,1,1
7,TCV,2,0,0,2,4,3,2,1,1,4,1,5,1,2
7,TCV,4,1,2,2,3,3,3,2,0,3,2,3,0,1
5,S,2,0,2,2,3,2,2,2,0,4,2,3,0,1
23,CL,2,0,1,2,3,2,3,1,0,1,1,3,0,1
2,C,1,1,1,4,4,4,3,2,0,2,2,3,1,1
5,S,1,0,2,1,2,3,2,1,1,2,1,3,1,1
1,V,4,1,1,1,2,2,2,4,0,0,2,3,0,1
19,TVS,4,1,2,2,3,3,3,2,0,2,2,4,1,1
25,CVS,4,0,1,4,2,2,1,2,0,0,2,5,0,1
12,TLS,1,1,1,2,3,3,3,1,1,5,2,4,1,3
20,CVLS,4,0,2,2,3,3,5,2,0,4,3,5,1,1
1,V,2,0,2,2,2,3,3,2,1,1,2,3,1,1
28,VL,1,0,0,1,3,1,3,2,0,5,1,2,0,1
1,V,2,0,0,3,3,3,3,1,0,0,3,2,0,1
22,CV,3,0,2,2,4,3,1,1,1,5,2,3,1,2
22,CV,5,0,0,2,3,3,3,3,1,7,2,4,1,1
8,CVL,6,0,2,2,4,3,2,2,1,4,2,3,1,2
1,V,7,0,0,1,4,2,5,4,0,0,0,1,0,1
23,CL,2,0,2,1,5,2,5,1,0,7,0,5,1,2
17,TV,2,1,1,3,4,4,2,2,1,0,2,3,0,1
22,CV,1,0,2,2,3,4,3,1,1,6,1,5,1,2
27,CS,4,0,2,1,4,3,3,1,0,3,2,5,0,1
28,VL,4,1,2,2,2,3,3,1,0,3,2,3,0,1
27,CS,2,0,0,2,4,2,2,1,1,5,2,2,0,1
22,CV,4,1,2,3,5,4,2,1,1,3,2,2,1,1
6,TC,3,1,2,2,5,2,4,2,1,6,0,1,1,2
3,T,2,1,1,3,5,3,3,2,1,1,1,3,0,1
25,CVS,4,1,0,2,4,4,5,1,0,3,2,4,1,2
19,TVS,6,1,1,1,3,3,3,2,0,3,1,4,1,2
14,TCL,4,1,1,2,4,4,1,1,1,6,1,1,1,1
1,V,2,0,0,2,3,3,3,1,1,2,1,3,1,1
25,CVS,4,1,2,3,4,4,5,4,0,2,1,4,1,2
5,S,1,1,2,2,3,2,3,2,1,2,1,4,1,1
28,,2,1,1,2,3,2,5,3,1,1,1,3,0,1
7,TCV,2,1,1,2,3,1,3,1,1,2,2,2,1,1
16,TCVS,2,0,0,1,3,2,3,2,0,4,3,5,0,1
26,TCS,4,0,0,1,3,2,2,2,1,5,2,3,1,2
9,TVL,2,1,2,2,5,1,3,4,1,4,3,4,1,1
20,CVLS,2,1,2,2,4,3,2,3,1,3,1,3,1,1
9,TVL,1,0,1,2,4,4,3,3,0,3,1,5,1,2
16,TCVS,8,1,1,2,5,3,1,1,0,2,3,2,1,1
28,VL,4,0,2,2,5,3,3,1,0,3,1,3,1,2
1,V,2,1,0,3,4,4,1,1,0,7,1,1,1,2
16,TCVS,4,1,1,3,2,3,1,1,0,2,0,4,1,1
28,VL,4,0,0,2,3,2,3,1,0,2,2,5,0,1
26,TCS,2,0,0,3,4,3,3,1,1,2,2,4,0,1
6,TC,2,0,2,2,4,4,3,2,0,2,2,3,0,1
1,V,2,0,2,3,4,3,1,1,1,3,2,3,0,1
20,CVLS,4,1,0,2,2,4,1,2,1,2,1,4,1,1
6,TC,2,1,0,2,5,3,2,3,1,5,3,5,1,2
6,TC,4,0,0,1,3,3,2,2,1,4,1,3,1,1
3,T,2,1,2,3,2,3,1,1,0,2,1,2,1,2
7,TCV,2,1,0,3,4,4,2,2,1,2,2,2,0,1
23,CL,2,0,2,2,5,3,2,1,0,2,0,1,0,1
27,CS,4,1,0,2,5,2,2,1,1,3,2,2,1,2
7,TCV,2,0,0,2,5,3,2,2,1,2,1,1,1,1
2,C,2,1,1,1,4,2,2,3,0,2,3,4,1,2
11,TVLS,9,1,0,1,5,1,3,1,0,7,1,4,1,3
29,VLS,4,1,2,1,3,2,1,1,0,1,2,2,0,1
2,C,1,0,0,1,5,3,3,3,0,2,2,2,0,1
1,V,2,1,2,2,4,4,4,4,1,2,1,2,0,1
21,CVL,4,0,0,2,5,3,4,1,1,3,1,2,1,2
21,CVL,2,0,0,3,5,4,1,1,0,5,1,3,1,1
2,C,2,1,2,2,5,4,3,2,0,1,1,3,1,1
20,CVLS,4,1,2,1,3,3,2,1,1,5,2,3,1,2
2,C,4,1,0,1,5,4,1,4,0,0,1,4,1,2
23,CL,2,1,2,2,5,4,3,2,1,4,0,4,1,1
16,TCVS,4,1,2,3,2,3,2,1,0,0,1,1,0,1
25,CVS,2,1,0,3,4,4,3,2,0,3,1,4,1,2
1,V,1,1,1,2,1,1,2,3,0,0,2,3,0,1
22,CV,4,1,2,2,3,4,1,1,1,7,1,3,1,1
28,VS,2,1,1,4,3,4,2,3,0,0,0,2,0,1
16,TCVS,4,0,2,3,2,1,2,1,0,3,1,3,1,2
29,VLS,1,0,2,2,2,2,2,1,1,4,3,5,0,1
22,CV,1,0,0,1,4,1,2,3,0,4,2,4,1,1
1,V,1,1,2,2,4,3,3,2,1,1,2,2,1,1
21,CVL,4,0,0,2,3,3,3,2,1,2,1,3,1,1
1,V,2,1,1,1,3,4,5,3,1,2,1,5,1,1
1,V,1,0,2,1,3,3,1,2,0,0,1,3,0,1
28,VS,1,1,2,2,2,2,5,3,0,0,1,5,1,2
17,TV,1,1,1,1,4,3,1,4,1,3,0,4,0,1
5,S,1,0,0,2,2,3,2,1,1,1,2,2,0,1
7,TCV,2,1,1,2,4,3,2,1,1,4,2,3,1,2
3,T,2,0,0,4,5,4,1,2,0,0,1,2,1,1
1,V,2,1,1,4,3,4,1,1,0,2,3,3,0,1
6,TC,2,0,0,2,3,3,2,4,1,1,2,5,0,1
18,TCVLS,4,0,0,4,2,4,5,1,1,3,3,3,1,2
25,CVS,1,0,2,2,4,3,4,1,1,0,1,4,1,1
22,CV,1,1,2,1,4,3,4,2,1,3,1,1,1,2
2,C,2,1,1,3,5,4,2,5,1,0,1,1,0,1
30,LS,6,1,1,2,4,4,5,1,1,6,3,5,1,2
28,VS,4,1,2,3,2,3,2,3,0,2,2,4,0,1
17,TV,2,0,0,1,3,1,3,1,0,4,1,5,1,2
9,TVL,2,1,2,2,3,2,2,2,1,1,2,3,1,1
22,CV,4,0,1,2,4,3,2,1,1,3,1,2,1,2
1,V,1,1,2,2,3,3,3,2,1,3,2,2,0,1
2,C,2,0,0,2,3,3,3,1,1,3,2,3,0,1
26,TCS,9,1,1,4,5,3,1,2,1,3,1,1,1,2
19,TVS,4,1,1,3,3,3,2,1,0,0,1,1,0,1
1,V,1,0,0,2,3,4,1,1,1,0,0,5,0,1
1,V,2,0,0,2,3,1,3,1,1,4,2,5,0,1
3,T,2,0,2,2,4,3,1,2,0,2,1,2,1,1
14,TCL,2,0,0,1,4,3,4,3,0,1,0,3,1,2
22,CV,2,0,0,2,5,2,2,1,0,4,0,2,1,1
2,C,2,0,2,2,3,3,1,1,1,0,2,5,0,1
11,TVLS,4,0,1,4,3,4,4,3,1,4,2,3,1,2
17,TV,4,1,1,1,3,1,4,5,0,6,3,3,1,3
28,VS,4,0,2,1,3,2,3,1,0,0,1,5,0,1
25,CVS,4,0,0,4,2,3,5,1,1,4,0,1,1,2
21,CVL,2,0,0,2,2,2,2,2,0,1,1,4,1,1
6,TC,2,1,1,3,3,2,1,1,0,0,3,2,0,1
